BI	TOTAL	ABU	JOC	MON	OUV	PER
 S	20352	 4035	 4053	 5248	 4174	 2842
 T	10606	 2742	 2063	 2455	 1530	 1816
 U	6336	 2174	 576	 2000	 607	 979
 V	8180	 2870	 1398	 2228	 940	 744
 W	1934	 397	 245	 580	 278	 434
 X	1143	 302	 116	 132	 152	 441
 Y	771	 30	 158	 317	 103	 163
 Z	658	 116	 116	 198	 115	 113
 a	238981	 39939	 61107	 47272	 46811	 43852
 b	48878	 18291	 7642	 9471	 6766	 6708
 c	315071	 57420	 68568	 52661	 68750	 67672
 d	740897	 107707	 196579	 129303	 161496	 145812
 e	284808	 49026	 69590	 46976	 59963	 59253
 f	108979	 27446	 19088	 19968	 22501	 19976
 g	42016	 10341	 7666	 8863	 7483	 7663
 h	20844	 6880	 2621	 3787	 3673	 3883
 i	84463	 16345	 17381	 13605	 18436	 18696
 j	36835	 11859	 5370	 7509	 6947	 5150
 k	1356	 97	 172	 277	 604	 206
 l	538445	 90963	 133456	 92147	 117151	 104728
 m	158943	 36302	 30641	 29954	 31093	 30953
 n	114271	 23249	 27058	 19839	 23944	 20181
 o	68067	 9826	 14990	 11805	 14702	 16744
 p	396628	 65448	 92412	 70697	 86666	 81405
 q	134212	 28227	 26607	 24426	 27309	 27643
 r	138575	 23521	 31667	 24596	 30885	 27906
 s	296180	 60329	 54516	 54650	 64960	 61725
 t	125286	 30031	 22833	 21032	 26123	 25267
 u	84751	 18307	 13370	 15375	 18462	 19237
 v	70925	 23412	 10005	 12898	 12619	 11991
 w	701	 40	 65	 68	 57	 471
 x	660	 3	 48	 12	 537	 60
 y	7055	 2461	 794	 1565	 1034	 1201
 z	1492	 75	 857	 173	 171	 216
BI	TOTAL	ABU	JOC	MON	OUV	PER
  	35474	 506	 31641	 2727	 74	 526
 A	17292	 3247	 3083	 5513	 2829	 2620
 B	14614	 2671	 2505	 5094	 2560	 1784
 C	62475	 6570	 32023	 8831	 8200	 6851
 D	18511	 3644	 3206	 4276	 4128	 3257
 E	18134	 4509	 2866	 4208	 3352	 3199
 F	12436	 1690	 2117	 5002	 2274	 1353
 G	11055	 1987	 2046	 3305	 2186	 1531
 H	5054	 997	 765	 1555	 935	 802
 I	16406	 4721	 2408	 3332	 3173	 2772
 J	14063	 4209	 2798	 3761	 2198	 1097
 K	3172	 744	 827	 1048	 161	 392
 L	43323	 7211	 7933	 9525	 10078	 8576
 M	32061	 6163	 7868	 10986	 3762	 3282
 N	8719	 2307	 1316	 2607	 1284	 1205
 O	7054	 2322	 642	 1517	 1135	 1438
 P	26865	 4701	 5897	 8347	 3883	 4037
 Q	4220	 1559	 774	 789	 449	 649
 R	12490	 2114	 2318	 4300	 1943	 1815
 S	20352	 4035	 4053	 5248	 4174	 2842
 T	10606	 2742	 2063	 2455	 1530	 1816
 U	6336	 2174	 576	 2000	 607	 979
 V	8180	 2870	 1398	 2228	 940	 744
 W	1934	 397	 245	 580	 278	 434
 X	1143	 302	 116	 132	 152	 441
 Y	771	 30	 158	 317	 103	 163
 Z	658	 116	 116	 198	 115	 113
 a	238981	 39939	 61107	 47272	 46811	 43852
 b	48878	 18291	 7642	 9471	 6766	 6708
 c	315071	 57420	 68568	 52661	 68750	 67672
 d	740897	 107707	 196579	 129303	 161496	 145812
 e	284808	 49026	 69590	 46976	 59963	 59253
 f	108979	 27446	 19088	 19968	 22501	 19976
 g	42016	 10341	 7666	 8863	 7483	 7663
 h	20844	 6880	 2621	 3787	 3673	 3883
 i	84463	 16345	 17381	 13605	 18436	 18696
 j	36835	 11859	 5370	 7509	 6947	 5150
 k	1356	 97	 172	 277	 604	 206
 l	538445	 90963	 133456	 92147	 117151	 104728
 m	158943	 36302	 30641	 29954	 31093	 30953
 n	114271	 23249	 27058	 19839	 23944	 20181
 o	68067	 9826	 14990	 11805	 14702	 16744
 p	396628	 65448	 92412	 70697	 86666	 81405
 q	134212	 28227	 26607	 24426	 27309	 27643
 r	138575	 23521	 31667	 24596	 30885	 27906
 s	296180	 60329	 54516	 54650	 64960	 61725
 t	125286	 30031	 22833	 21032	 26123	 25267
 u	84751	 18307	 13370	 15375	 18462	 19237
 v	70925	 23412	 10005	 12898	 12619	 11991
 w	701	 40	 65	 68	 57	 471
 x	660	 3	 48	 12	 537	 60
 y	7055	 2461	 794	 1565	 1034	 1201
 z	1492	 75	 857	 173	 171	 216
